ts_ms,av_state,av_timestamp,navSensors.imu[0].accel_x,navSensors.imu[0].accel_y,navSensors.imu[0].accel_z,navSensors.imu[0].gyro_x,navSensors.imu[0].gyro_y,navSensors.imu[0].gyro_z,navSensors.imu[0].temperature,navSensors.imu[0].timestamp_us,navSensors.imu[1].accel_x,navSensors.imu[1].accel_y,navSensors.imu[1].accel_z,navSensors.imu[1].gyro_x,navSensors.imu[1].gyro_y,navSensors.imu[1].gyro_z,navSensors.imu[1].temperature,navSensors.imu[1].timestamp_us,navSensors.imu[2].accel_x,navSensors.imu[2].accel_y,navSensors.imu[2].accel_z,navSensors.imu[2].gyro_x,navSensors.imu[2].gyro_y,navSensors.imu[2].gyro_z,navSensors.imu[2].temperature,navSensors.imu[2].timestamp_us,navSensors.imu[3].accel_x,navSensors.imu[3].accel_y,navSensors.imu[3].accel_z,navSensors.imu[3].gyro_x,navSensors.imu[3].gyro_y,navSensors.imu[3].gyro_z,navSensors.imu[3].temperature,navSensors.imu[3].timestamp_us,navSensors.bmp.temperature,navSensors.bmp.pressure,navSensors.bmp_aux.temperature,navSensors.bmp_aux.pressure,navSensors.bmp_3.temperature,navSensors.bmp_3.pressure,navSensors.bmp_4.temperature,navSensors.bmp_4.pressure,navigationData.position_kalman.x,navigationData.position_kalman.y,navigationData.position_kalman.z,navigationData.speed.x,navigationData.speed.y,navigationData.speed.z,navigationData.accel.x,navigationData.accel.y,navigationData.accel.z,navigationData.attitude.x,navigationData.attitude.y,navigationData.attitude.z,navigationData.course,navigationData.altitude,navigationData.baro.temperature,navigationData.baro.pressure,event.command_updated,event.calibrated,event.dpr_eth_ready,event.dpr_eth_pressure_ok,event.dpr_lox_ready,event.dpr_lox_pressure_ok,event.prb_ready,event.trb_ready,event.ignited,event.seperated,event.chute_unreefed,event.ignition_failed,event.catastrophic_failure,event.timer_launch_delay,event.cut_off_detected,event.apogee_detected,event.touchdown_detected,event.vertical_acc_hold,event.imu_liftoff_detected
10759,INIT,10759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
10782,INIT,10782,-0.489614,0.0131681,-9.5385,0.00399474,0.00253,-0.00213053,301.525,10759367,-0.415394,-0.181959,-9.62828,-0.00732369,-0.000798948,0.0117179,301.837,10759377,-0.477643,-0.0981623,-9.6642,-0.0122505,0.0115848,0.01265,303.587,10759378,-0.398635,-0.0143652,-9.79468,-0.00266316,-0.00506001,-0.00466053,299.962,10759379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.398635,-0.0143652,-9.79468,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11629,INIT,11629,-0.531513,-0.183156,-9.60913,-0.00119842,-0.000932106,0.00812264,301.587,11661509,-0.457293,-0.122104,-9.57561,-0.00652474,0.00279632,-0.00133158,302.025,11668831,-0.559046,-0.12809,-9.56244,-0.00346211,-0.00492685,0.000133158,303.712,11666456,-0.471658,-0.134075,-9.64744,-0.00599211,-0.000798948,-0.00226369,299.962,11649971,34.1876,98004.9,33.5596,98012.1,34.1849,98030,34.2939,98032.1,0,0,0,0,0,0,-0.471658,-0.134075,-9.64744,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11645,INIT,11645,-0.409408,-0.0993594,-9.54927,0.00346211,0.00639159,0.00319579,301.837,11680965,-0.505177,-0.140061,-9.52892,-0.0057258,-0.00439422,-0.00585895,302.275,11687662,-0.490811,-0.0646434,-9.64744,0.00372843,0.00479369,0.0138484,303.65,11684506,-0.399832,-0.129287,-9.68335,-0.0015979,0.00292948,-0.00239685,300.025,11665498,34.1876,98004.9,33.5596,98012.1,34.1849,98030,34.2939,98032.1,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11661,INIT,11661,-0.493206,-0.0969652,-9.60793,-0.00253,0.0082558,-0.00585895,301.9,11696035,-0.544681,-0.142455,-9.56124,-0.00972054,0.0066579,0.0137153,301.65,11703044,-0.430956,-0.217872,-9.70011,0.00066579,0.00346211,0.00253,303.775,11699732,-0.397437,-0.143652,-9.77553,0.00705738,0.00599211,0.00772317,299.837,11678620,34.1876,98004.9,33.5596,98012.1,34.1849,98030,34.2939,98032.1,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11677,INIT,11677,-0.45011,-0.166397,-9.60195,0.0105195,0.00266316,0.00625843,301.837,11710668,-0.527921,-0.154426,-9.53012,-0.00519316,0.000932106,0.00266316,301.962,11717834,-0.483629,-0.216675,-9.62708,0.00972054,-0.00253,-0.00133158,303.9,11714521,-0.447716,-0.160412,-9.71447,-0.00359527,-0.00319579,-0.000932106,299.962,11691461,34.1876,98004.9,33.5596,98012.1,34.1849,98030,34.2939,98032.1,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11693,INIT,11693,-0.448913,-0.0993594,-9.59476,0.00639159,-0.0111853,0.00625843,301.837,11725802,-0.543484,-0.0921768,-9.55646,-0.00452737,-0.00838896,-0.00213053,302.025,11733124,-0.416591,-0.107739,-9.62948,0.00439422,-0.000399474,0.0143811,303.775,11729811,-0.398635,-0.174777,-9.73482,0.0041279,0.00426106,0,299.962,11704870,34.1876,98004.9,33.5596,98012.1,34.1849,98030,34.2939,98032.1,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11709,INIT,11709,-0.439336,-0.0897826,-9.59117,0.0057258,-0.00346211,0.00439422,301.837,11740310,-0.536301,-0.117316,-9.58998,-0.0117179,0.00066579,-0.00559264,302.087,11747789,-0.51595,-0.148441,-9.68095,-0.00066579,0.00545948,-0.0082558,303.587,11744476,-0.407014,-0.120907,-9.70969,-0.000133158,0.00266316,-0.00119842,299.962,11717523,34.1456,98003.5,33.5315,98013.3,34.1475,98024.7,34.2567,98029.2,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11725,INIT,11725,-0.411803,-0.0682347,-9.67018,-0.00186421,0.00106526,0.0127832,301.775,11755380,-0.374693,-0.132878,-9.7025,-0.00852212,0.00492685,-0.00798948,301.837,11763171,-0.460884,-0.0969652,-9.68095,0.00705738,0.000399474,-0.00386158,303.587,11759702,-0.438139,-0.205901,-9.74081,0.00253,0.00612527,0.0115848,299.962,11730676,34.1456,98003.5,33.5315,98013.3,34.1475,98024.7,34.2567,98029.2,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
11741,INIT,11741,-0.494403,-0.0059855,-9.58758,0.0057258,-0.00745685,-0.00146474,301.837,11770294,-0.520739,-0.130484,-9.58279,-0.00852212,-0.00452737,0.0125169,301.65,11778241,-0.531513,-0.113725,-9.60075,0.00798948,0.0015979,0.00972054,303.9,11774772,-0.434548,-0.154426,-9.74081,-0.00932106,0.000532632,-0.00346211,299.837,11743766,34.1456,98003.5,33.5315,98013.3,34.1475,98024.7,34.2567,98029.2,0,0,0,0,0,0,-0.464475,-0.0694318,-9.71567,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACC_HOLD_NOT_ELAPSED,0
